,tconst,averagerating,numvotes
682,tt9061192,75,8
683,tt9080630,21,112
684,tt9088588,73,40
685,tt9094980,70,45
686,tt9114436,67,37
687,tt9115662,64,12
688,tt9118870,67,504
689,tt9130246,86,558
690,tt9139040,79,46
691,tt9141128,71,295
692,tt9154776,30,30
693,tt9159000,65,12
694,tt9190740,83,39
695,tt9204352,64,201
696,tt9233172,81,8
697,tt9249222,90,5
698,tt9310460,59,43
699,tt9353436,76,36
700,tt9356320,73,6
701,tt9358044,68,628
702,tt9358256,73,79
703,tt9359942,72,5
704,tt9363366,87,7
705,tt9447768,71,7
706,tt9450542,40,99
707,tt9529752,17,20
708,tt9562694,26,1509
709,tt9567548,78,327
710,tt9593792,61,39
711,tt9644084,52,5
712,tt9648942,67,403
713,tt9657946,60,16
714,tt9659470,45,456
715,tt9703880,75,23
716,tt9723084,67,35
717,tt9726638,60,6
718,tt9762928,59,15
719,tt9800694,54,7
720,tt9827784,77,6
721,tt9833362,84,7
722,tt9838372,57,46
723,tt9845012,80,10
724,tt9865446,85,32
725,tt0066787,72,43
726,tt0844699,90,5
727,tt0844915,75,56
728,tt0847735,45,15
729,tt0879870,58,77709
730,tt0892318,66,86137
731,tt0959329,55,11358
732,tt0960067,69,83
733,tt0988655,47,185
734,tt10011448,94,7
735,tt10016532,61,152
736,tt10066162,65,88
737,tt10078894,23,30
738,tt10122038,76,78
739,tt1015471,62,1888
740,tt10179072,61,10
741,tt10204316,76,5
742,tt1020982,66,147
743,tt10262346,63,7
744,tt10308686,93,15
745,tt10312668,89,2111
746,tt10338308,70,74
747,tt1053835,62,348
748,tt1071783,47,64
749,tt1071872,71,33
750,tt1079964,50,576
751,tt1091212,65,338
752,tt1092634,64,8662
753,tt1111900,78,12
754,tt1127897,54,352
755,tt1137473,77,6
756,tt1183352,67,415
757,tt1193626,68,166
758,tt1201607,81,691835
759,tt1225703,60,453
760,tt1228705,70,657690
761,tt1230120,55,12
762,tt1232775,64,483
763,tt1232828,59,50
764,tt1235430,63,31
765,tt1247673,51,182
766,tt1274639,55,137
767,tt1277373,62,156
768,tt1279105,41,127
769,tt1282100,67,9
770,tt1285240,56,1321
771,tt1294212,56,263
772,tt1296881,52,576
773,tt1298655,85,6
774,tt1303680,38,200
775,tt1316033,49,16
776,tt1329320,78,31
777,tt1332110,44,229
778,tt1338705,26,41
779,tt1345444,67,173
780,tt1345505,61,127
781,tt1345834,71,547
782,tt1352380,67,740
783,tt1362518,72,437
784,tt1363368,69,27
785,tt1365483,47,2397
786,tt1373403,24,148
787,tt1378811,24,246
788,tt1380190,52,240
789,tt1380995,51,208
790,tt1382720,55,250
791,tt1383705,51,660
792,tt1388369,53,74
793,tt1398028,51,644
794,tt1400502,86,85
795,tt1408029,51,16
796,tt1410198,46,313
797,tt1414353,64,69
798,tt1417054,67,112
799,tt1419453,83,23
800,tt1423953,73,839
801,tt1429445,62,95
802,tt1437354,55,438
803,tt1438214,50,102
804,tt1440161,63,26441
805,tt1450651,55,74
806,tt1453262,63,111
807,tt1458408,82,17
808,tt1458730,73,28
809,tt1460646,32,239
810,tt1483386,72,676
811,tt1486652,50,5
812,tt1489889,63,138872
813,tt1490753,68,72
814,tt1490785,58,5658
815,tt1491603,36,1388
816,tt1493816,29,30
817,tt1496374,77,10
818,tt1500694,46,121
819,tt1502422,65,332
820,tt1506998,57,379
821,tt1510926,59,345
822,tt1511354,56,39
823,tt1511362,80,9
824,tt1515941,81,36
825,tt1517260,59,105633
826,tt1517506,52,497
827,tt1519640,61,785
828,tt1520956,45,1420
829,tt1521223,69,457
830,tt1526284,56,3793
831,tt1526616,86,7
832,tt1527721,80,15
833,tt1529292,64,554
834,tt1531683,85,15
835,tt1533749,69,17777
836,tt1534834,82,10
837,tt1537485,77,10
838,tt1539146,63,21
839,tt1540995,72,17
840,tt1543004,62,405
841,tt1544589,80,8
842,tt1546401,51,26
843,tt1546985,72,5
844,tt1550643,56,10
845,tt1550902,70,600
846,tt1555440,64,1097
847,tt1563127,72,27
848,tt1563712,65,41
849,tt1565064,77,771
850,tt1566501,66,4202
851,tt1567127,55,182
852,tt1567611,71,27
